ID,team,pick,score,score_diff,name
8,Feta Chargers,14,61.00,0.31,Matt Prater
9,Team America,14,115.00,54.31,Stephen Gostkowski
10,Mean,14,60.69,0.00,Round 14
0,Herlev Tech,15,71.00,14.82,Jason Hanson
1,The Hot Rods IV,15,6.00,-50.18,Garrett Hartley
2,Fenris,15,0.00,-56.18,Delone Carter
3,The Giant,15,12.80,-43.38,James Starks
4,Svingets Superheroes,15,85.00,28.82,Greg Zuerlein
5,Showstoppers,15,35.10,-21.08,Coby Fleener
6,Nordvest Annihilators,15,68.10,11.92,Davone Bess
7,Red Nation,15,142.40,86.22,Alfred Morris
8,Feta Chargers,15,54.90,-1.28,Devery Henderson
9,Team America,15,86.50,30.32,Jacquizz Rodgers
10,Mean,15,56.18,0.00,Round 15
